OrderID,OrderDate,CustomerID,City,Region,Category,MarbleType,Finish,Thickness_mm,Quantity_sqft,UnitPrice_PKR,Discount_pct,TotalAmount_PKR,PaymentMethod,SalesRep,Warehouse,OrderStatus,DeliveryDays
ORD104637,2025-08-13,CUST3430,Lahore,Punjab,Marble,Rangeela Marble,Polished,30,24.5,223.82,0.0,5483.59,Cheque,Usman Tariq,Main Yard - Chiniot,Cancelled,5.0
ORD102898,2025-06-05,CUST1374,Rawalpindi,Punjab,Marble,Chaghi Golden,Polished,20,255.8,209.43,0.0,53572.19,Bank Transfer,Usman Tariq,Main Yard - Chiniot,Delivered,6.0
ORD104796,2024-08-01,CUST3352,Islamabad,Federal,Marble,Indus Green,Polished,20,128.6,168.71,0.0,21696.11,Credit (30 days),Fahad Malik,Depot - Lahore,In Transit,7.0
ORD101104,2024-07-22,CUST1227,Islamabad,Federal,Marble,Emperador Brown,Polished,18,118.9,170.79,0.0,20306.93,Cash,Fahad Malik,Depot - Multan,Delivered,9.0
ORD102795,2025-04-04,CUST1435,Multan,Punjab,Marble,Ziarat White,Leather,20,41.3,204.34,10.0,7595.32,Cheque,Zain Abbas,Main Yard - Chiniot,Pending,4.0
ORD103838,2025-11-11,CUST1083,Peshawar,KPK,Tile,Emperador Brown,Bush Hammered,18,118.1,89.13,0.0,10526.25,Cash,Bilal Khan,Depot - Multan,Delivered,7.0
ORD102299,2024-04-14,CUST1048,Chiniot,Punjab,Onyx,Emperador Brown,Polished,22,196.9,363.11,15.0,60771.91,Bank Transfer,Bilal Khan,Depot - Multan,Cancelled,5.0
ORD104527,2024-09-10,CUST1781,Faisalabad,Punjab,Tile,Indus Green,Polished,20,268.7,93.82,0.0,25209.43,Credit (30 days),Bilal Khan,Depot - Lahore,Delivered,7.0
ORD104620,2025-03-08,CUST1116,Lahore,Punjab,Marble,Buff Marble,Leather,18,222.3,187.28,10.0,37469.11,Cash,Hamza Sheikh,Depot - Multan,Pending,5.0
ORD103074,2025-02-10,CUST3085,Faisalabad,Punjab,Marble,Botticino Beige,Polished,18,20.0,195.11,0.0,3902.2,Cash,Fahad Malik,Depot - Multan,Cancelled,9.0
